Год,В среднем за год ,I,II,III,IV,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
2012,26629,24407,26547,26127,30233,23746,24036,25487,25800,26385,27494,26684,25718,25996,26803,27448,36450
2013,29792,27339,30245,29578,33269,26840,26620,28693,30026,29723,30986,30229,29226,29346,30069,30290,39648
2014,32495,30057,32963,31730,35685,29535,29255,31486,32947,32272,33726,32515,30763,31929,32439,32546,42136
2015,34030,31566,34703,32983,36692,30929,31325,32642,34377,34380,35395,33901,32176,32911,33357,33347,43408
2016,36709,34000,37404,35744,39824,32660,33873,35501,36497,37270,38447,35888,35405,35843,35749,36195,47554
2017,39167,35983,40103,37723,42797,34422,35497,37899,39225,39679,41454,38073,37099,38047,38333,38848,51197
2018,43724,40691,44477,41830,46850,39017,40443,42364,43381,44076,45848,42413,41364,41774,42332,42595,55569
2019,47867,43944,48453,45726,51684,42263,43062,46324,48030,47926,49348,46509,44961,45541,46549,46285,62239
2020,51344,48390,50784,49021,56044,46674,47257,50948,49306,50747,52123,50145,47649,49259,49539,49274,69278
2021,57244,52143,57275,54133,62828,49516,51229,55208,56614,56171,58782,55170,52355,54687,54649,55639,77994
2022,65338,60101,63784,61385,71377,55717,57344,66757,62269,62457,66572,62200,59907,61879,62470,63060,88468
